scheme_name,Sharpe_Ratio,Beta,VaR_95,CAGR
ICICI Pru Liquid Fund - Regular - Growth,1.508048192379275,-0.0011264415439248125,-0.00022157351389344714,0.06968969623013832
Mirae Asset Large Cap Fund - Regular - Growth,1.4835180500021576,-0.028157818601197242,-0.01355977641751056,0.29711989696020824
Kotak Flexicap Fund - Regular - Growth,1.3382162691672503,-0.00874497029410474,-0.014507941385630474,0.2964834751553347
Mirae Asset Tax Saver Fund - Regular - Growth,1.2632201587776624,-0.010210251294794609,-0.017118192655621135,0.3064321514596229
SBI Bluechip Fund - Regular Plan - Growth,1.24465287136672,-0.05609390538774514,-0.012846228628842571,0.2477256161793966
ICICI Pru Midcap Fund - Regular - Growth,1.2060200878857321,-0.0174063208473775,-0.01889178619869274,0.31481115319403674
DSP Midcap Fund - Regular - Growth,1.1602969628633415,0.0034815601582573806,-0.017882076201903473,0.2838164635295859
HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.1201024840971263,-0.011209465904455684,-0.019033535861558825,0.2889938363919462
Nippon India Large Cap Fund - Regular - Growth,1.116998983555754,0.03646595485493237,-0.013954045870018117,0.23093815872659618
ABSL Frontline Equity Fund - Regular - Growth,1.0615346276281639,0.0338434392369632,-0.013281661986281489,0.2260478728480142
ICICI Pru Bluechip Fund - Direct - Growth,1.06133406191034,0.01704019222145009,-0.013728193295939772,0.22372037579730364
Axis Midcap Fund - Regular - Growth,1.0239947306022559,-0.05992030054082117,-0.018480276243938307,0.27075969436673986
SBI Bluechip Fund - Direct Plan - Growth,0.9891491298286867,-0.019870318625502984,-0.013500970479935082,0.2067704837427602
DSP Small Cap Fund - Regular - Growth,0.9699244830158513,0.13272360051252813,-0.023483069386777154,0.3096576580257806
SBI Small Cap Fund - Regular Plan - Growth,0.9651964234751245,0.07433117689799225,-0.0245070519056771,0.310956642373736
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.9586935505263741,5.120653358330827e-05,-0.014711531333512795,0.21627249243585345
Kotak Liquid Fund - Regular - Growth,0.8853095780498018,-7.569746389696304e-05,-0.00028479272823556107,0.0665902917581922
UTI Nifty 50 Index Fund - Regular - Growth,0.856050375309165,-0.001885828683691463,-0.01261262882069356,0.17523902033263883
ICICI Pru Bluechip Fund - Regular - Growth,0.8339844002703704,-0.004114728975275658,-0.01355001716250348,0.1805376677189634
HDFC Top 100 Fund - Direct Plan - Growth,0.8098760458433801,-0.0054640720612779735,-0.014591769071140459,0.18276505948757582
Nippon India ETF Nifty 50 BeES,0.7033684274578699,-0.013818636034771624,-0.012553697284754662,0.1534278656877741
ICICI Pru Value Discovery Fund - Regular - Growth,0.6817076033555906,0.04774957270709698,-0.014388462899080912,0.16424007349244585
Nippon India Large Cap Fund - Direct - Growth,0.6809288334603563,0.013169113988973783,-0.013442525143024242,0.15646763057250324
UTI Flexi Cap Fund - Regular - Growth,0.6512467662472735,0.040151150049984326,-0.015231617279157872,0.1619032513637435
Kotak Bluechip Fund - Regular - Growth,0.531409167640754,0.041712085312848445,-0.013141782186804063,0.13016300746880094
DSP Top 100 Equity Fund - Regular - Growth,0.49887128529815755,0.014861691320866247,-0.014473851983792741,0.12882957123240346
Nippon India Small Cap Fund - Regular - Growth,0.4682426409269637,0.009136121451829772,-0.025438111458963106,0.15741939944838035
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.32785626948145136,-0.018528994981916933,-0.018365320169601018,0.10874958686292713
ABSL Small Cap Fund - Regular - Growth,0.18204262589129774,-0.05990798510315862,-0.026021248221061066,0.07643258410637976
ABSL Liquid Fund - Regular - Growth,0.17172200172214014,0.0013284731541263156,-0.0002686575130400159,0.06268273663284529
Axis Bluechip Fund - Direct - Growth,0.16537144785822064,-0.008435061318617805,-0.014225516634796053,0.0760363867836038
Kotak Emerging Equity Fund - Regular - Growth,0.10394105861162833,0.0006481196272252378,-0.01821853045255608,0.06453456071586094
Axis Bluechip Fund - Regular - Growth,0.06662544573170147,-0.019625820650324012,-0.013749592076363814,0.06132601469068821
SBI Small Cap Fund - Direct Plan - Growth,-0.037146646167237535,0.0076876737113599535,-0.02685943514961382,0.01980032242102303
Axis Small Cap Fund - Regular - Growth,-0.0560266938839762,0.013303301627068914,-0.02618842440959035,0.014665053142173479
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.10053753960466195,0.012001117430876982,-0.003938283121850805,0.05672188795478972
HDFC Top 100 Fund - Regular Plan - Growth,-0.16714840059317027,-0.02593197493464669,-0.014363639988111142,0.02541247901047594
UTI Mid Cap Fund - Regular - Growth,-0.17825996836323496,-0.06152961805330455,-0.01922028344426503,0.011294595778247984
Nippon India Gilt Securities Fund - Regular - Growth,-0.23117593499643319,-0.008499785999004635,-0.003804146068944347,0.05121284370964796
HDFC Short Term Debt Fund - Regular - Growth,-0.4390618698464923,-0.01618973113074746,-0.003793246199522682,0.04294835392228946
